Category,Total,White,African American,Latino,Asian,Native American
Total,26937,19795,2970,3248,813,111
MSM,20933,16133,1529,2538,679,54
IDU,1393,507,679,172,26,9
MSM IDU,4152,3007,619,419,63,44
Hetrosexual,156,34,65,42,13,2
Transfusion,81,50,17,23,12,0
Other,201,64,61,54,20,2
