Category,Male,Female,Transgender,White,African American,Latino,Asian,Native American,Other,MSM,IDU,MSM IDU,Hetrosexual,Other
San Francisco,92,6,2,63,14,16,5,1,2,73,7,14,3,3
California,87,12,1,46,19,31,4,0,0,65,8,8,9,10
United States,72,28,0,33,48,17,0,0,0,39,14,4,20,23
